Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
Chemcon Speciality Chemicals,https://www.cscpl.com,Vadodara,Custom synthesis & specialty chemicals,Pharmaceutical intermediates and oilfield completion chemicals such as CMIC/HMDS and bromides,Rs.100-300Cr,Kamal Aggarwal,Chairman & MD,Founder/promoter; specialty chemicals entrepreneur with long operating experience,Strong,Manufactures specialty chemicals in own facilities for pharma and oilfield customers,Strong,"Registered/operational base in Vadodara, Gujarat",Strong,Niche products: HMDS/CMIC and oilfield bromides; export-facing specialty chemistry,Moderate,"Promoter-led; technical operating team visible, but public technical credentials limited",Strong,"Specialty chemicals benefit from China+1, pharma outsourcing and oilfield import substitution",Strong,"Public company filings show ongoing operations, exports and listed-company disclosures; active website/news presence",90,A — Strong Federer,Strong fit,Promoter-led Vadodara specialty chemical manufacturer with niche pharma/oilfield products and public growth visibility,"Vadodara company making HMDS/CMIC plus oilfield bromides — a clear niche, not commodity trading",https://www.cscpl.com; https://beststartup.in/19-vadodara-based-chemical-companies-the-most-innovative-chemical-companies/
Ami Lifesciences,https://www.amilifesciences.com,Vadodara,Custom synthesis & specialty chemicals,"Pharmaceutical intermediates, APIs/intermediates and custom synthesis molecules",Rs.100-300Cr estimate,N/A,Promoter/Management,Promoter-led company; detailed DM credentials not fully public,Strong,Website positions the company as manufacturer with facilities and product portfolio,Strong,Vadodara registered office/operations; Gujarat manufacturing presence,Strong,Pharma intermediates/custom synthesis with regulatory and process chemistry depth,Moderate,"Technical team visible, but founder education not fully findable from open sources",Strong,China+1 and pharma outsourcing tailwinds for Indian intermediates,Moderate,Active website and export/product portfolio; limited recent expansion proof in open sources,80,A — Strong Federer,Strong fit with DM caveat,Good specialty pharma-intermediate manufacturer; needs final DM validation from LinkedIn/MCA,Long-running Vadodara pharma-intermediate maker with custom synthesis positioning,https://www.amilifesciences.com; https://www.zaubacorp.com/AMI-LIFESCIENCES-PVT-LTD-U24110GJ1994PTC021470
Annexe Chem,https://annexechem.com,Vadodara,Custom synthesis & specialty chemicals,"Fine chemicals, APIs, excipients, food additives and preservatives in multiple pharmacopeial grades",Rs.50-100Cr estimate,N/A,Management,Founder/technical background not fully public,Strong,"States it is a manufacturer, supplier and exporter with state-of-the-art facilities",Strong,"Based in Vadodara, India",Moderate,"Product range is technical, but open evidence of patents/R&D is limited",Moderate,Likely technical operating team; named technical founder not verified,Strong,Pharma/cosmetic fine chemicals have export and import-substitution tailwinds,Moderate,Active website; proof of recent hiring/facility limited,70,B — Probable Federer,Fit,Useful prospect but lower confidence until revenue and technical DM are verified,Vadodara manufacturer offering LR/AR/ACS/IP/BP/USP/EP/JP/Food grades across fine chemicals,https://annexechem.com/
Sun Speciality Chemicals,https://www.sunspeciality.com,Vadodara,Performance chemicals,"Specialty chemicals for coating, ink, paint, plastic/rubber and allied industrial applications",Rs.50-100Cr estimate,N/A,Directors/KMP,Zauba shows 7 KMP/directors; technical background needs manual validation,Strong,MCA/Zauba lists operating private manufacturer; website/product portfolio indicates chemical production,Strong,"Registered office in Vadodara, Gujarat",Moderate,"Specialty formulation/product portfolio, but patent/regulatory evidence limited",Moderate,Promoter/management-led; technical DM not fully verified,Moderate,Performance chemicals are stable/growth segment but no specific PLI signal,Moderate,Long-running 28-year company; recent public growth signals limited,65,B — Probable Federer,Fit / verify,Private specialty chemical manufacturer; include after DM and revenue validation,28-year Vadodara specialty chemicals company with multiple KMPs and industrial product portfolio,https://www.zaubacorp.com/SUN-SPECIALITY-CHEMICALS-PRIVATE-LIMITED-U24119GJ1997PTC031528
Best Value Chem,https://www.bestvaluechem.com,Vadodara,Specialty food & nutraceutical ingredients,"Aroma chemicals, fragrance/flavour ingredients, personal care and pharma specialty chemicals",Rs.300-500Cr estimate / borderline,N/A,Management,Technical background not fully public,Strong,Two production plants near Vadodara reported; manufactures aroma/specialty chemicals,Strong,"Based in Vadodara, Gujarat",Strong,Aroma chemicals/fragrance ingredients are differentiated and export-heavy,Moderate,Management/founder technical background requires validation,Strong,Exports and specialty ingredients benefit from global supply-chain diversification,Strong,Profile reports two plants and ~80% exports; employee base and active profile,85,A — Strong Federer,"Strong fit, revenue must be checked",High-quality prospect but confirm current revenue below Rs.500Cr before outreach,Two Vadodara production plants and export-heavy aroma/fragrance chemicals business,https://bitscale.ai/directory/best-value-chem-pvt-ltd
Chemol Specialities,https://www.chemolspecialities.in,Vadodara,Custom synthesis & specialty chemicals,"4-methyl catechol, silicone oil and specialty chemical products",Below Rs.50Cr / small,Abhijit Maitra,Founder,Founder named publicly; technical background not fully published,Moderate,Manufacturer/exporter/supplier; very small scale per public turnover,Strong,"Vadodara, Gujarat",Moderate,"Some niche chemicals, but scale and IP evidence limited",Moderate,Founder-led; technical qualification not verified,Moderate,"Specialty chemical niche has stable demand, but company scale is early",Moderate,New/active website listing; growth signals limited,60,B — Probable Federer / small,Borderline fit,Founder-led specialty manufacturer but likely below target revenue band; keep as emerging prospect,Founder-led Vadodara specialty chemical maker with worldwide market coverage but only ~Rs.7Cr turnover listed,https://www.chemolspecialities.in/about-us.htm
Goldfinch Speciality Chemicals,https://goldfinchchemicals.com,Vadodara,Performance chemicals,Speciality chemicals and polymers for industrial applications,Rs.50-100Cr estimate,N/A,Management,Established by professionals with 25+ years combined experience,Strong,"States manufacturer, supplier and exporter of specialty chemicals/polymers",Strong,"Vadodara, Gujarat address",Moderate,Tailored speciality chemicals and polymers; patent evidence not public,Moderate,Experienced professional-led; specific scientific pedigree not public,Moderate,"Performance polymers have steady growth, but not high-regulatory niche",Moderate,Active website; limited independent growth proof,65,B — Probable Federer,Fit / verify,Good small manufacturer prospect; needs revenue and technical-DM validation,Vadodara emerging manufacturer led by professionals with 25+ years specialty chemicals experience,https://goldfinchchemicals.com/about-us.html
Aayra Chemicals / Vedansh Life Science,https://www.aayrachemicals.co.in,Vadodara,Custom synthesis & specialty chemicals,Pharmaceutical intermediates and specialty chemical compounds,Rs.50-100Cr estimate,N/A,Management,Technical DM not verified,Strong,Website states manufacturing of pharmaceutical intermediates and specialty compounds,Strong,"Vadodara, Gujarat",Moderate,Pharma intermediates are technical; IP/regulatory evidence limited,Moderate,Technical credentials not public,Strong,Pharma intermediates benefit from China+1 and Indian CDMO tailwinds,Moderate,Modern production technology and active website; limited independent signals,70,B — Probable Federer,Fit / verify,Potential fit in pharma intermediates; requires deeper revenue/DM verification,Vadodara pharma-intermediate manufacturer emphasizing modern production and strict quality control,https://www.aayrachemicals.co.in/about-us.htm
STC Polychem,https://www.zaubacorp.com/STC-POLYCHEM-PRIVATE-LIMITED-U24290GJ2023PTC138580,Vadodara,Performance chemicals,Polymer / specialty chemical products; exact product portfolio requires website validation,Unknown / early,Haresh Patel / Mahendra Patel,Designated/Management,Promoter details via MCA-style listing; technical background not verified,Moderate,Young private company; manufacturing proof needs product-site validation,Strong,"Registered in Vadodara, Gujarat",Weak,Insufficient public evidence of differentiated products,Moderate,"Promoter-led, but no technical credentials found",Moderate,Performance chemicals segment has demand tailwinds,Moderate,Incorporated recently; activity signal but not enough scale proof,50,C — Borderline,Research further,"Keep in fail/watchlist unless website, revenue and plant are verified",New Vadodara polychem company — useful lead but currently low evidence depth,https://www.zaubacorp.com/STC-POLYCHEM-PRIVATE-LIMITED-U24290GJ2023PTC138580
Matangi Industries,https://www.matangiindustries.com,Ahmedabad,Performance chemicals,"Ethoxylates, surfactants, textile auxiliaries, agro/formulation specialty chemicals",Rs.100-300Cr estimate,N/A,Management,Long-running manufacturer; technical team not fully public,Strong,LinkedIn/company presence describes performance & specialty chemicals manufacturer/exporter,Strong,"Ahmedabad, Gujarat operations",Strong,"Surfactants/ethoxylates and application-specific specialty chemicals, exports to 40+ countries",Moderate,Technical leadership likely but founder/MD credentials need verification,Strong,"Performance chemicals, textile auxiliaries and export specialty segments have tailwinds",Strong,312 employees on LinkedIn and exports to 40+ countries; active digital presence,90,A — Strong Federer,Strong fit,Strong specialty-chemicals prospect with export scale and non-commodity product lines,Ahmedabad performance & specialty chemicals manufacturer exporting to 40+ countries since 1993,https://in.linkedin.com/company/matangi-industries
